English Word	Valence	Arousal	Dominance	Hebrew Word
boa	0.255	0.569	0.542	חַנָק
boa constrictor	0.198	0.784	0.609	בואה מכווצת
boar	0.406	0.500	0.351	חזיר בר
board	0.592	0.255	0.385	גלשן
board game	0.711	0.490	0.349	משחק לוח
boarder	0.604	0.440	0.475	מִתאַכסֵן
boarding	0.531	0.402	0.534	עֲלִייָה לַמָטוֹס
boardroom	0.555	0.566	0.661	חדר ישיבות
boards	0.469	0.270	0.524	לוחות
boardwalk	0.643	0.481	0.549	טיילת
boast	0.520	0.586	0.569	לְהִתְפַּאֵר
boastful	0.490	0.806	0.695	רַברְבָנִי
boasting	0.417	0.620	0.602	הִתפָּאֲרוּת
boat	0.516	0.420	0.554	סִירָה
boathouse	0.592	0.380	0.404	בית סירה
boating	0.638	0.613	0.557	סִירָאוּת
boatload	0.365	0.415	0.485	מטען סירה
boatman	0.592	0.573	0.562	סִירַאִי
bobbin	0.429	0.472	0.353	סְלִיל
bobcat	0.562	0.490	0.529	חֲתוּל הַבָּר
bobsled	0.667	0.613	0.325	מזחלת
bode	0.344	0.406	0.411	לְנָבֵּא
bodega	0.573	0.307	0.398	בודגה
bodice	0.390	0.471	0.386	מָחוֹך
bodily	0.594	0.481	0.557	גופני
body	0.694	0.461	0.571	גוּף
bodyguard	0.510	0.710	0.754	שׁוֹמֵר רֹאשׁ
bog	0.302	0.361	0.365	לִשְׁקוֹעַ
bogey	0.380	0.519	0.368	דַחלִיל
bogeyman	0.388	0.708	0.517	בוגימן
bogus	0.219	0.353	0.144	מְזוּיָף
bohemian	0.622	0.500	0.407	בּוֹהֶמִי
boil	0.417	0.684	0.433	רְתִיחָה
boiler	0.561	0.590	0.509	דוּד
boilerplate	0.398	0.519	0.387	לוחית דודים
boiling	0.302	0.690	0.526	רְתִיחָה
boisterous	0.385	0.806	0.565	שׁוֹבָב
bold	0.490	0.271	0.483	נוֹעָז
boldness	0.806	0.684	0.814	נוֹעָזוּת
bollocks	0.448	0.471	0.327	בולוקס
bolster	0.708	0.471	0.569	לְחַזֵק
bolt	0.354	0.363	0.426	בְּרִיחַ
bolus	0.426	0.491	0.352	בולוס
bomb	0.167	0.912	0.750	פְּצָצָה
bombard	0.156	0.961	0.777	לְהַפְצִיץ
bombardier	0.240	0.863	0.787	מפציץ
bombardment	0.146	0.959	0.742	הַפצָצָה
bombed	0.051	0.851	0.627	מופצץ
bomber	0.125	0.837	0.810	מַפצִיץ
bombers	0.173	0.920	0.787	מפציצים
bombing	0.167	0.963	0.732	הַפצָצָה
bombshell	0.327	0.868	0.693	פְּצָצָה
bonanza	0.875	0.410	0.683	מִרבָּץ עָשִׁיר
bonbon	0.865	0.551	0.446	בונבון
bond	0.667	0.519	0.630	אגרת חוב
bondage	0.146	0.705	0.355	שִׁעבּוּד
bonding	0.594	0.442	0.509	קשר
bonds	0.740	0.472	0.583	קשרים
bondsman	0.469	0.497	0.675	עֶבֶד
bone	0.337	0.370	0.413	עֶצֶם
bonehead	0.337	0.521	0.518	ראש עצמות
boner	0.344	0.612	0.393	משעמם
bones	0.281	0.343	0.358	עצמות
bonfire	0.480	0.719	0.473	מְדוּרָה
bong	0.333	0.566	0.375	באנג
bonkers	0.306	0.847	0.278	מְטוּרָף
bonne	0.448	0.395	0.362	בון
bonnet	0.406	0.509	0.473	מִצנֶפֶת
bonny	0.561	0.404	0.444	בוני
bonsai	0.714	0.235	0.375	בונסאי
bonus	0.857	0.620	0.682	מַעֲנָק
bony	0.445	0.462	0.330	גַרמִי
boo	0.153	0.676	0.309	בוז
boob	0.694	0.600	0.392	טֶמבֶּל
booby	0.396	0.423	0.185	בובי
booger	0.399	0.537	0.427	בוגר
boogeyman	0.292	0.559	0.567	בוגימן
boogie	0.590	0.543	0.400	בוגי
book	0.802	0.210	0.606	סֵפֶר
bookcase	0.553	0.221	0.490	כּוֹנָנִית
bookie	0.344	0.633	0.618	סוֹכֵן הִמוּרִים
booking	0.708	0.503	0.583	הזמנה
bookish	0.604	0.236	0.430	לַמדָנִי
bookkeeper	0.480	0.363	0.468	מְנַהֵל חֶשׁבּוֹנוֹת
bookkeeping	0.520	0.214	0.592	הַנהָלַת חֶשְׁבּוֹנוֹת
booklet	0.510	0.270	0.351	חוֹבֶרֶת
bookmaker	0.583	0.804	0.633	סוֹכֵן הִמוּרִים
bookmark	0.543	0.441	0.415	סימניה
books	0.729	0.115	0.430	ספרים
bookseller	0.583	0.317	0.456	מוכר ספרים
bookshop	0.688	0.291	0.389	חֲנוּת סְפָרִים
bookstore	0.771	0.180	0.503	חֲנוּת סְפָרִים
bookworm	0.563	0.337	0.316	מַקָק
boom	0.604	0.655	0.731	בּוּם
boomer	0.480	0.539	0.441	בומר
boomerang	0.531	0.625	0.500	בּוּמֵרַנְג
booming	0.688	0.554	0.661	פורחת
boon	0.878	0.294	0.642	בְּרָכָה
boooo	0.271	0.549	0.255	בואו
boost	0.865	0.730	0.750	לְהַגבִּיר
booster	0.755	0.600	0.800	מַגבֵּר
boot	0.438	0.650	0.625	מַגָף
booth	0.531	0.400	0.310	תָא
bootleg	0.357	0.519	0.466	bootleg
bootlegger	0.354	0.649	0.541	מַברִיחַ
boots	0.602	0.255	0.350	מגפיים
booty	0.663	0.587	0.784	שָׁלָל
booze	0.265	0.745	0.431	מַשׁקֶה חָרִיף
bop	0.429	0.490	0.426	בופ
bopper	0.398	0.530	0.385	bopper
border	0.406	0.382	0.424	גבול
bordering	0.643	0.382	0.438	גובל
borderline	0.449	0.520	0.490	קו גבול
bore	0.417	0.440	0.455	לְשַׁעֲמֵם
boreal	0.582	0.348	0.400	בוריאל
bored	0.153	0.167	0.196	מְשׁוּעֲמָם
boredom	0.167	0.139	0.255	שעמום
borer	0.302	0.549	0.578	מַקדֵחַ
boring	0.194	0.217	0.125	מְשַׁעֲמֵם
born	0.865	0.509	0.591	נוֹלָד
boron	0.441	0.370	0.375	בּוֹר
borough	0.429	0.343	0.380	קִריָה
borrow	0.398	0.573	0.282	לִלווֹת
borrower	0.439	0.423	0.763	לוֹוֶה
bosom	0.612	0.588	0.404	חֵיק
boss	0.310	0.627	0.954	בּוֹס
bossy	0.240	0.824	0.750	שתלטן
boston	0.643	0.380	0.580	בוסטון
botanical	0.660	0.259	0.491	בּוֹטָנִי
botanist	0.651	0.240	0.456	בּוֹטָנַאִי
botany	0.604	0.201	0.500	בּוֹטָנִיקָה
bother	0.208	0.780	0.370	לְהטרִיד
bothering	0.208	0.764	0.449	מטריד
bottle	0.469	0.236	0.336	בקבוק
bottleneck	0.284	0.471	0.287	צַוַאר הַבַּקבּוּק
bottling	0.365	0.333	0.370	ביקבוק
bottom	0.417	0.370	0.291	תַחתִית
bottomless	0.310	0.470	0.368	לְלֹא תַחתִית
botulism	0.292	0.575	0.386	בּוּטוּלִיזְם
boulder	0.461	0.309	0.531	סלע
bounce	0.375	0.633	0.386	להקפיץ
bouncer	0.490	0.653	0.655	סַדרָן
bouncy	0.562	0.565	0.429	קופצני
bound	0.417	0.667	0.310	כָּרוּך
boundary	0.561	0.427	0.518	גְבוּל
boundless	0.684	0.642	0.652	לְלֹא גְבוּל
bounds	0.378	0.426	0.604	גבולות
bountiful	0.854	0.596	0.759	שׁוֹפֵעַ
bounty	0.760	0.755	0.833	נְדִיבוּת
bouquet	0.724	0.352	0.306	זר
bourbon	0.602	0.490	0.517	בורבון
bourgeois	0.439	0.593	0.682	בּוּרגָנִי
bourgeoisie	0.357	0.417	0.767	בּוּרגָנוּת
bourse	0.530	0.230	0.336	בורסה
bout	0.208	0.808	0.679	הֶתקֵף
boutique	0.745	0.490	0.441	בוטיק
bouttime	0.588	0.373	0.410	זמן התקף
bovine	0.449	0.255	0.353	דְמוּי שׁוֹר
bow	0.530	0.306	0.408	קשת
bowed	0.410	0.418	0.368	שָׁחוּחַ
bowel	0.306	0.417	0.391	מְעִי
bowels	0.194	0.448	0.362	מעיים
bowl	0.625	0.377	0.358	קְעָרָה
bowler	0.552	0.633	0.481	בָּאוּלֵר
bowling	0.656	0.431	0.309	בָּאוּלִינְג
bowls	0.551	0.280	0.277	כַּדוֹרֶת
box	0.500	0.179	0.312	קופסא
boxcar	0.420	0.469	0.421	מכונית קופסה
boxer	0.490	0.810	0.802	מִתאַגרֵף
boxers	0.375	0.880	0.654	מתאגרפים
boxing	0.427	0.854	0.645	אִגרוּף
boycott	0.112	0.690	0.505	חֵרֶם
boyfriend	0.781	0.604	0.547	הֶחָבֵר
boyhood	0.729	0.745	0.500	נְעוּרִים
boyish	0.698	0.562	0.462	נַעֲרִי
boysenberry	0.646	0.409	0.475	boysenberry
bozo	0.388	0.364	0.298	בוזו
bra	0.672	0.529	0.509	חֲזִיָה
brace	0.610	0.385	0.364	לְהַדֵק
bracelet	0.776	0.340	0.322	צמיד
braces	0.500	0.337	0.568	פלטה
brachial	0.388	0.363	0.464	זרוע
bracket	0.490	0.350	0.682	סוֹגֵר
brackets	0.573	0.281	0.435	סוֹגְרַיִם
brackish	0.469	0.368	0.421	מליחים
brad	0.490	0.385	0.402	בראד
brag	0.347	0.545	0.578	לְהִתְרַבְרֵב
braid	0.427	0.222	0.216	לִקְלוֹעַ
brain	0.667	0.441	0.823	מוֹחַ
brainless	0.138	0.310	0.224	חסר מוח
brains	0.663	0.557	0.722	מוֹחַ
brainstorm	0.794	0.784	0.636	רַעְיוֹן מַבְרִיק
brainwash	0.198	0.647	0.481	שטיפת מוח
brainy	0.708	0.520	0.648	מוחית
brake	0.312	0.481	0.310	בֶּלֶם
bran	0.688	0.433	0.483	סוּבִּין
branch	0.538	0.206	0.250	ענף
branching	0.520	0.422	0.472	מִסעָף
brand	0.562	0.284	0.547	מותג
brandy	0.600	0.590	0.487	ברנדי
brash	0.360	0.814	0.552	חצוף
brass	0.500	0.320	0.490	פליז
brass knuckle	0.406	0.449	0.518	מפרק פליז
brassiere	0.510	0.469	0.336	חֲזִיָה
brat	0.312	0.440	0.231	פִּרחָח
bratwurst	0.510	0.490	0.464	ברטוורסט
bravado	0.479	0.510	0.527	הֶעָזָה
brave	0.837	0.750	0.917	אַמִיץ
bravery	0.898	0.745	0.868	אומץ
brawl	0.104	0.938	0.603	קְטָטָה
brawn	0.438	0.402	0.544	חום
brazen	0.292	0.640	0.518	חצופה
breach	0.177	0.745	0.423	הֲפָרָה
bread	0.660	0.314	0.342	לחם
breadth	0.667	0.490	0.644	רוֹחַב
break	0.610	0.265	0.370	לשבור
breakable	0.194	0.667	0.408	שָׁבִיר
breakaway	0.479	0.802	0.519	פרץ דרך
breakdown	0.365	0.423	0.361	התקלקל
breaker	0.323	0.527	0.520	נַחשׁוֹל
breakers	0.469	0.588	0.439	שוברים
breakfast	0.885	0.330	0.429	ארוחת בוקר
breaking and entering	0.418	0.729	0.500	פריצה
breakingnews	0.500	0.552	0.607	חדשות מרעישות
breakneck	0.254	0.833	0.604	מְהִירוּת מְסוּכֶּנֶת
breakthrough	0.680	0.525	0.718	פְּרִיצַת דֶרֶך
breakup	0.250	0.720	0.357	להפרד
breast	0.753	0.429	0.500	שד
breath	0.684	0.392	0.451	נְשִׁימָה
breathe	0.833	0.373	0.518	לִנְשׁוֹם
breather	0.624	0.471	0.388	מְנוֹחָה קְצָרָה
breathless	0.323	0.490	0.222	חסר נשימה
breathtaking	0.936	0.792	0.921	עוֹצֵר נְשִׁימָה
breech	0.500	0.637	0.422	עַכּוּז
breeches	0.365	0.457	0.333	מִכְנָסַיִים
breed	0.490	0.441	0.578	גֶזַע
breeder	0.645	0.481	0.605	מְגַדֵל
breeding	0.667	0.481	0.610	רבייה
breeze	0.837	0.284	0.370	רוּחַ
breezy	0.531	0.472	0.482	קליל
brethren	0.917	0.380	0.641	אַחִים לְדָת
breve	0.535	0.365	0.191	breve
brevity	0.459	0.434	0.375	קוֹצֶר
brew	0.740	0.538	0.758	לְהִתְבַּשֵׁל
brewery	0.710	0.622	0.510	מבשלת בירה
brewing	0.740	0.593	0.609	מתבשל
briar	0.493	0.375	0.407	בריאר
bribe	0.112	0.690	0.472	שוחד
bribery	0.135	0.775	0.585	שׁוֹחַד
brick	0.217	0.418	0.368	לְבֵנָה
bridal	0.823	0.655	0.596	שֶׁל כְּלוּלוֹת
bride	0.840	0.708	0.579	כַּלָה
bridegroom	0.809	0.736	0.527	חָתָן
bridesmaid	0.748	0.519	0.618	שׁוֹשְׁבִינַת הַכַּלָה
bridge	0.625	0.324	0.519	לְגַשֵׁר
bridle	0.427	0.367	0.386	רֶסֶן
brief	0.469	0.300	0.279	קָצָר
briefcase	0.542	0.206	0.442	תיק מסמכים
briefing	0.612	0.333	0.702	תִדרוּך
briefly	0.686	0.314	0.330	בקצרה
brig	0.573	0.539	0.500	בריג
brigade	0.604	0.710	0.828	חֲטִיבָה
bright	0.890	0.527	0.812	בָּהִיר
brighten	0.760	0.547	0.649	לְהַאִיר
brightens	0.771	0.611	0.613	מתבהר
brighter	0.918	0.698	0.833	בהיר יותר
brightness	0.938	0.623	0.660	בְּהִירוּת
brilliance	0.990	0.673	0.830	זוֹהַר
brilliant	0.939	0.575	0.923	מַברִיק
brim	0.469	0.333	0.330	שׁוּלַיִם
brimming	0.656	0.690	0.758	שופע
brimstone	0.357	0.520	0.440	גופרית
brine	0.333	0.481	0.361	מי מלח
bring	0.635	0.460	0.462	לְהָבִיא
brink	0.375	0.413	0.356	סַף
brisk	0.719	0.745	0.742	מְרַעֲנֵן
brisket	0.552	0.378	0.222	דַד
bristle	0.375	0.375	0.326	זִיף
brittle	0.276	0.490	0.272	שָׁבִיר
bro	0.794	0.349	0.684	אחי
broach	0.438	0.439	0.675	להרים
broad	0.762	0.365	0.637	רָחָב
broadcast	0.615	0.587	0.355	מִשׁדָר
broadcasting	0.542	0.700	0.706	שידור
broaden	0.678	0.602	0.610	לְהַרְחִיב
broadside	0.459	0.316	0.462	הַתקָפָה מְרוּכֶּזֶת
broadsword	0.469	0.573	0.615	חרב רחבה
brocade	0.500	0.327	0.464	ברוקד
broccoli	0.469	0.200	0.283	ברוקולי
brochure	0.552	0.226	0.391	חוֹבֶרֶת
broil	0.510	0.404	0.330	לִצְלוֹת
broke	0.245	0.590	0.370	חסר פרוטה
broken	0.062	0.500	0.293	שָׁבוּר
brokenheart	0.115	0.577	0.343	לב שבור
brokenhearted	0.130	0.598	0.227	שבור לב
broker	0.582	0.462	0.600	סַרְסוּר
brokerage	0.479	0.500	0.500	עֲמִילוּת
bromide	0.347	0.425	0.411	בְּרוֹמִיד
bronco	0.500	0.510	0.473	ברונקו
bronze	0.622	0.333	0.526	בְּרוֹנזָה
brooch	0.531	0.260	0.380	מַכבֵּנָה
brood	0.633	0.519	0.434	לִרְבּוֹץ
brooding	0.327	0.367	0.333	דְגִירָה
brook	0.594	0.347	0.412	נַחַל
broom	0.385	0.154	0.302	מְטַאטֵא
broomstick	0.410	0.265	0.227	מקל מטאטא
broth	0.500	0.245	0.168	מרק בשר
brothel	0.255	0.886	0.418	בֵּית זוֹנוֹת
brother	0.823	0.361	0.546	אָח
brotherhood	0.990	0.471	0.760	אחווה
brotherly	0.865	0.306	0.596	אחים
brow	0.562	0.311	0.481	מֵצַח
brown	0.396	0.202	0.293	חום
brownstone	0.559	0.423	0.439	אבן חומה
browse	0.635	0.750	0.592	לְדַפדֵף
brrr	0.373	0.540	0.282	brrr
bruise	0.133	0.640	0.474	חבורה
bruising	0.084	0.520	0.422	סימון
brunch	0.406	0.363	0.343	בראנץ'
brunette	0.802	0.528	0.529	שְׁחַרחוֹרֶת
brunt	0.204	0.750	0.349	נֵטֶל
brush	0.490	0.265	0.186	מִברֶשֶׁת
brutal	0.122	0.882	0.643	אַכְזָרִי
brutality	0.122	0.832	0.571	הִתעַלְלוּת
brute	0.115	0.547	0.379	פְּרָאִי
brutish	0.270	0.837	0.588	בַּהֲמִי
bubble	0.774	0.213	0.364	בּוּעָה
bubbling	0.500	0.438	0.384	פִּכפּוּך
bubbly	0.698	0.608	0.462	תוֹסֵס
bubonic	0.280	0.530	0.394	בובות
buck	0.677	0.577	0.720	דוֹלָר
buckaroo	0.448	0.469	0.479	בוקארו
bucket	0.408	0.167	0.336	דְלִי
buckle	0.416	0.373	0.361	אַבזָם
buckled	0.427	0.358	0.439	אבזם
bucko	0.439	0.455	0.465	bucko
buckshot	0.255	0.740	0.322	כַּדוּר עוֹפֶרֶת
buckwheat	0.490	0.471	0.434	כוסמת
bud	0.460	0.402	0.333	לְהַנֵץ
buddha	0.690	0.198	0.604	בּוּדְהָא
buddhism	0.510	0.115	0.673	בודהיזם
budding	0.490	0.500	0.355	נִבגִי
buddy	0.884	0.585	0.655	חבר
budge	0.719	0.755	0.543	לָזוּז
budget	0.643	0.396	0.731	תַקצִיב
buff	0.561	0.425	0.361	לְהַברִיק
buffalo	0.469	0.528	0.527	תְאוֹ
buffer	0.520	0.474	0.350	בַּלָם
buffering	0.479	0.468	0.381	חציצה
buffet	0.656	0.546	0.519	בופה
buffoon	0.344	0.651	0.290	לֵיצָן
bug	0.286	0.500	0.246	חרק
bugaboo	0.439	0.491	0.441	bugaboo
bugged	0.561	0.439	0.500	פגום
bugger	0.312	0.627	0.474	בגר
buggy	0.500	0.509	0.327	מֶרְכָּבָה
bugle	0.479	0.588	0.391	חֲצוֹצְרָה
bugler	0.542	0.540	0.393	חֲצוֹצְרָן
build	0.771	0.546	0.806	לִבנוֹת
builder	0.660	0.642	0.701	בּוֹנֶה
building	0.705	0.288	0.673	בִּניָן
buildings	0.582	0.380	0.552	מבנים
buildup	0.490	0.509	0.623	לבנות
bulb	0.562	0.208	0.300	נוּרָה
bulbous	0.390	0.442	0.430	בולבוס
bulge	0.260	0.487	0.400	בְּלִיטָה
bulimic	0.092	0.570	0.373	בולימית
bulk	0.469	0.413	0.509	תִפזוֹרֶת
bulkhead	0.312	0.425	0.402	מחיצה
bulky	0.427	0.591	0.750	גַס
bull	0.521	0.640	0.644	שׁוֹר
bulldog	0.494	0.650	0.530	בּוּלדוֹג
bulldozer	0.459	0.549	0.643	דַחפּוֹר
bullet	0.408	0.794	0.634	כַּדוּר
bulletin	0.573	0.294	0.361	עָלוֹן
bulletproof	0.750	0.721	0.779	חֲסִין קְלִיעִים
bullfighter	0.448	0.794	0.664	לוֹחֶם שְׁוָרִים
bullfrog	0.344	0.481	0.422	בול צפרדע
bullheaded	0.229	0.740	0.516	בול ראש
bullhorn	0.510	0.653	0.736	שוורים
bullion	0.693	0.558	0.729	מְטִילִים
bullock	0.281	0.402	0.375	פַּר
bullpen	0.480	0.549	0.500	בולפן
bullshit	0.042	0.676	0.183	שְׁטוּיוֹת
bully	0.257	0.755	0.564	בִּריוֹן
bulwark	0.551	0.552	0.675	מעוז
bum	0.281	0.451	0.155	בַּטלָן
bumblebee	0.469	0.493	0.321	דבורת בומבוס
bummed	0.296	0.430	0.227	מבואס
bummer	0.163	0.500	0.267	באסה
bump	0.286	0.458	0.368	מַכָּה
bumper	0.385	0.573	0.518	פָּגוֹשׁ
bumpy	0.306	0.683	0.419	לֹא יָשָׁר
bun	0.424	0.306	0.268	לַחמָנִיָה
bunch	0.552	0.358	0.473	צְרוֹר
bundle	0.510	0.343	0.434	חבילה
bungalow	0.562	0.352	0.406	בּוּנגָלוֹ
bungee	0.637	0.545	0.327	בנג'י
bunghole	0.286	0.426	0.396	חור
bunion	0.276	0.340	0.290	יַבֶּלֶת
bunk	0.438	0.332	0.339	דַרגָשׁ
bunker	0.375	0.673	0.773	בּוּנקֶר
bunkhouse	0.470	0.414	0.407	קומותיים
bunny	0.740	0.325	0.194	אַרנֶבֶת
bunt	0.417	0.422	0.349	לַחֲבוֹט קָלוֹת
buoy	0.562	0.280	0.284	מָצוֹף
buoyancy	0.625	0.373	0.538	צִיפָה
buoyant	0.625	0.441	0.497	צִיפָנִי
bur	0.385	0.353	0.314	בר
burden	0.367	0.583	0.697	נטל
burdened	0.429	0.519	0.565	עָמוּס
burdensome	0.229	0.696	0.419	כָּבֵד
bureau	0.562	0.373	0.618	לשכה
bureaucracy	0.380	0.578	0.740	בִּירוֹקרַטִיָה
bureaucrat	0.208	0.519	0.598	ביורוקרט
bureaucratic	0.280	0.630	0.573	ביורוקרטי
burger	0.688	0.568	0.398	המבורגר
burglar	0.050	0.769	0.404	פּוֹרֵץ
burglary	0.146	0.918	0.543	פְּרִיצָה
burial	0.203	0.577	0.333	קְבוּרָה
buried	0.133	0.530	0.370	קבור
burke	0.466	0.441	0.451	בורק
burlap	0.429	0.462	0.411	אֲרִיג יוּטָה
burlesque	0.327	0.615	0.343	בּוּרלֶסקָה
burly	0.562	0.650	0.750	מְגוּשָׁם
burn	0.219	0.783	0.509	לשרוף
burned	0.163	0.603	0.347	נשרף
burner	0.296	0.816	0.446	מַבעֵר
burning	0.229	0.760	0.412	שריפה
burnished	0.520	0.580	0.464	מבריק
burnout	0.219	0.445	0.240	שְׁחִיקָה
burnt	0.082	0.713	0.356	שַׂרוּף
burp	0.219	0.594	0.432	לְגַהֵק
burr	0.390	0.426	0.308	קְלִפָּה קַשָׁה
burrito	0.688	0.294	0.166	בוריטו
burro	0.400	0.356	0.318	חֲמוֹר
burrow	0.438	0.280	0.355	מְחִילָה
bursary	0.729	0.462	0.571	מַעֲנָק
burst	0.156	0.894	0.845	הִתפָּרְצוּת
bury	0.077	0.571	0.346	לִקְבּוֹר
bus	0.407	0.411	0.400	אוֹטוֹבּוּס
busboy	0.510	0.453	0.441	ילד אוטובוס
bush	0.413	0.220	0.315	שיח
bushel	0.417	0.387	0.368	בושל
bushy	0.562	0.321	0.427	מְכוּסֶה שִׂיחִים
business	0.688	0.569	0.755	עֵסֶק
business man	0.530	0.598	0.933	איש עסקים
businessman	0.653	0.510	0.802	איש עסקים
businesswoman	0.719	0.500	0.764	אשת עסקים
busload	0.561	0.481	0.492	עומס באוטובוס
buss	0.469	0.500	0.391	נְשִׁיקָה
bust	0.520	0.500	0.420	חָזֶה
busted	0.204	0.676	0.345	נשבר
buster	0.469	0.491	0.483	באסטר
bustle	0.347	0.814	0.445	לְהִתְרוֹצֵץ
bustling	0.490	0.850	0.528	הומה
busy	0.402	0.500	0.474	עסוק
busybody	0.255	0.634	0.472	אדם עסוק
butane	0.442	0.483	0.380	גָז בּוטָאן
butcher	0.500	0.575	0.608	קַצָב
butler	0.469	0.225	0.438	משרת
butt	0.347	0.725	0.336	קַת
butter	0.650	0.292	0.202	חמאה
buttercup	0.562	0.482	0.422	נוּרִית צְהוּבָּה
butterfly	0.892	0.327	0.314	פַּרְפַּר
buttermilk	0.633	0.311	0.304	חוּבצָה
butterscotch	0.708	0.510	0.356	חמאה
buttery	0.625	0.318	0.303	חמאתי
buttock	0.429	0.600	0.288	יַשׁבָן
buttocks	0.458	0.677	0.365	עֲגָבַיִם
button	0.520	0.220	0.343	לַחְצָן
buttress	0.438	0.684	0.721	לְחַזֵק
buxom	0.562	0.719	0.547	מופרך
buy	0.771	0.769	0.612	לִקְנוֹת
buyer	0.613	0.519	0.649	קוֹנֶה
buying	0.665	0.784	0.589	קְנִיָה
buzz	0.333	0.686	0.375	זִמזוּם
buzzard	0.350	0.500	0.225	זמזם
buzzed	0.583	0.549	0.448	זמזם
buzzer	0.549	0.716	0.480	זַמזָם
buzzing	0.430	0.588	0.370	זמזום
bye	0.375	0.398	0.321	ביי
bygone	0.229	0.310	0.315	בעבר
bylaw	0.469	0.373	0.725	חוֹק עֵזֶר
byline	0.469	0.450	0.435	byline
bypass	0.429	0.418	0.353	לַעֲקוֹף
bystander	0.480	0.462	0.491	צופה מהצד
byte	0.490	0.380	0.407	בייט
byzantine	0.546	0.443	0.492	ביזנטי
cab	0.438	0.490	0.421	מונית
cabal	0.500	0.406	0.573	קְנוּנִיָה
cabana	0.698	0.296	0.407	cabana
cabaret	0.677	0.656	0.482	קַבָּרֶט
cabbage	0.398	0.225	0.264	כרוב
cabbie	0.521	0.417	0.429	מונית
cabernet	0.543	0.420	0.480	קברנה
cabin	0.643	0.292	0.430	תָא
cabinet	0.552	0.306	0.465	קבינט
cable	0.583	0.245	0.434	כֶּבֶל
caboodle	0.529	0.521	0.325	caboodle
caboose	0.440	0.453	0.438	קָרוֹן מְאַסֵף
cabriolet	0.667	0.525	0.472	קבריולה
cache	0.552	0.348	0.389	מטמון
cacophony	0.408	0.562	0.440	קָקוֹפוֹניָה
cactus	0.439	0.412	0.284	קַקטוּס
cad	0.447	0.406	0.404	cad
cadaver	0.030	0.690	0.260	פֶּגֶר
caddie	0.521	0.435	0.259	נוֹשֵׂא כֵּלִים
caddy	0.580	0.470	0.380	נוֹשֵׂא כֵּלִים
cadence	0.427	0.473	0.355	קצב
cadet	0.504	0.393	0.664	צוֹעֵר
cafe	0.781	0.392	0.358	בֵּית קָפֶה
cafeteria	0.757	0.400	0.382	קָפֵטֶרִיָה
caffeine	0.562	0.759	0.500	קָפֵאִין
cage	0.316	0.333	0.352	כְּלוּב
cagey	0.542	0.363	0.582	זָהִיר
cahoots	0.312	0.696	0.474	קְנוּנִיָה
cairn	0.260	0.435	0.254	גַלעֵד
cake	0.810	0.375	0.287	עוגה
cakewalk	0.719	0.510	0.447	הליכת עוגה
calamari	0.521	0.312	0.406	קלמרי
calamitous	0.219	0.685	0.500	הָרֵה אָסוֹן
calamity	0.122	0.795	0.343	אָסוֹן
calcareous	0.490	0.368	0.462	גִירִי
calcium	0.600	0.346	0.479	סִידָן
calculate	0.490	0.452	0.440	לחשב
calculated	0.633	0.425	0.683	מְחוֹשָׁב
calculating	0.458	0.430	0.625	חישוב
calculation	0.646	0.453	0.606	תַחשִׁיב
calculator	0.513	0.283	0.588	מַחשְׁבוֹן
calculus	0.360	0.360	0.562	חֶשְׁבּוֹן
calendar	0.480	0.212	0.473	לוּחַ שָׁנָה
calender	0.531	0.275	0.451	לוח שנה
calf	0.531	0.366	0.336	עגל
caliber	0.429	0.551	0.606	קָלִיבֶּר
calibrate	0.552	0.460	0.623	לְדַרֵג
calico	0.406	0.338	0.491	calico
calipers	0.480	0.510	0.481	מְחוּגָה
calisthenics	0.562	0.663	0.545	מיומנות
call	0.594	0.627	0.558	שִׂיחָה
callback	0.524	0.529	0.434	התקשר חזרה
caller	0.646	0.615	0.472	מתקשר
calligraphy	0.620	0.216	0.500	כְּתִיבָה יָפָה
calling	0.646	0.590	0.483	יִעוּד
callous	0.245	0.500	0.386	קָשׁוּחַ
calls	0.608	0.431	0.551	שיחות
calm	0.875	0.100	0.282	לְהַרְגִיעַ
calming	0.885	0.105	0.360	הַרגָעָה
calmness	0.934	0.105	0.394	רוֹגַע
caloric	0.327	0.483	0.448	קלוריות
calorie	0.333	0.540	0.427	קָלוֹרִיָה
calorimeter	0.406	0.560	0.414	קלורימטר
cam	0.448	0.363	0.355	פִּקָה
camaraderie	0.833	0.510	0.648	חֲבֵרוּת
camber	0.430	0.382	0.439	קִמוּר
camcorder	0.556	0.422	0.454	מצלמת וידיאו
camel	0.540	0.282	0.314	גָמָל
cameo	0.573	0.457	0.509	קָמִיעַ
camera	0.640	0.288	0.379	מַצלֵמָה
cameraman	0.542	0.452	0.542	צַלָם
camisole	0.497	0.250	0.375	חוּלצָה
camouflage	0.438	0.585	0.450	לְהַסווֹת
camouflaged	0.350	0.422	0.562	מוסווה
camp	0.622	0.617	0.594	מַחֲנֶה
campaign	0.602	0.730	0.823	קמפיין
campaigner	0.592	0.698	0.821	קמפיינר
campaigning	0.531	0.663	0.741	קמפיין
camper	0.573	0.529	0.482	חניך
campfire	0.677	0.509	0.436	מדורה
camping	0.653	0.529	0.480	קֶמפִּינג
campsite	0.680	0.490	0.547	חֶניוֹן לַילָה
campus	0.604	0.388	0.519	קַמפּוּס
can	0.662	0.360	0.454	פחית
